Category,Ticker,Name,Type,Detail
Broad market ETFs,ITOT,iShares Core S&P Total U.S. Stock Market ETF,Broad Market,US Market
Broad market ETFs,SCHB,Schwab U.S. Broad Market ETF,Broad Market,US Market
Broad market ETFs,VT,Vanguard Total World Stock,Broad Market,Global Market
Broad market ETFs,VTHR,Vanguard Russell 3000,Broad Market,US Market
Broad market ETFs,VTI,Vanguard Total Stock Market,Broad Market,US Market
Broad market ETFs,WFVK,Wilshire 5000 Total Market,Broad Market,US Market
Style ETFs,IWB,iShares Russell 1000 Index,Style ETF,Large Cap
Style ETFs,IWF,iShares Russell 1000 Growth Index,Style ETF,Growth
Style ETFs,IWD,iShares Russell 1000 Value Index,Style ETF,Value
Style ETFs,IVV,iShares S&P 500 Index,Style ETF,Large Cap
Style ETFs,IVW,iShares S&P 500 Growth Index,Style ETF,Growth
Style ETFs,IVE,iShares S&P 500 Value Index,Style ETF,Value
Style ETFs,SCHX,Schwab U.S. Large-Cap,Style ETF,Large Cap
Style ETFs,SCHG,Schwab U.S. Large-Cap Growth,Style ETF,Growth
Style ETFs,SCHV,Schwab U.S. Large-Cap Value,Style ETF,Value
Style ETFs,SCHD,Schwab U.S. Dividend Equity,Style ETF,Dividend
Style ETFs,SPY,SPDR S&P 500,Style ETF,Large Cap
Style ETFs,SPYG,SPDR S&P 500 Growth,Style ETF,Growth
Style ETFs,SPYV,SPDR S&P 500 Value,Style ETF,Value
Style ETFs,VOO,Vanguard S&P 500,Style ETF,Large Cap
Style ETFs,VOOG,Vanguard S&P 500 Growth,Style ETF,Growth
Style ETFs,VOOV,Vanguard S&P 500 Value,Style ETF,Value
Style ETFs,VV,Vanguard Large-Cap,Style ETF,Large Cap
Style ETFs,VUG,Vanguard Growth,Style ETF,Growth
Style ETFs,VTV,Vanguard Value,Style ETF,Value
Style ETFs,MGC,Vanguard Mega-Cap 300,Style ETF,Mega Cap
Style ETFs,MGK,Vanguard Mega-Cap 300 Growth,Style ETF,Growth
Style ETFs,MGV,Vanguard Mega-Cap 300 Value,Style ETF,Value
Style ETFs,VONE,Vanguard Russell 1000,Style ETF,Large Cap
Style ETFs,VONG,Vanguard Russell 1000 Growth,Style ETF,Growth
Style ETFs,VONV,Vanguard Russell 1000 Value,Style ETF,Value
Style ETFs,VIG,Vanguard Dividend Appreciation,Style ETF,Dividend
Style ETFs,VYM,Vanguard High Dividend Yield,Style ETF,Dividend
Mid-cap ETFs,IWR,iShares Russell Midcap Index,Style ETF,Mid Cap
Mid-cap ETFs,IWP,iShares Russell Midcap Growth Index,Style ETF,Growth
Mid-cap ETFs,IWS,iShares Russell Midcap Value Index,Style ETF,Value
